HS_Code,Growth_Slope,Total_Import(N),HS_Description,Fiscal_Impact_20,Fiscal_Impact_30,Job_Creation_30%,Industry_Growth_30%
8516290000,-12295829.17,3334945764.0,Electric Space Heating And Soil Heating Appar. Excl. Storage Heating Radiators,666989152.8000001,1000483729.1999999,30014511.876,50024186.46
8533400000,13016961.0,3256531747.0,"Other Variable Resistors, Including Rheostats And Potentiometers",651306349.4000001,976959524.0999999,29308785.722999997,48847976.205
8547900000,-4388647.19,3127567192.0,Other Insulating Fittings Of Any Material Other Than Ceramics And Plastics.,625513438.4,938270157.6,28148104.728,46913507.88
8514900000,35474323.69,3049432192.0,Parts Of Article Of Heading 85.14,609886438.4,914829657.6,27444889.728,45741482.88
8515900000,11332520.95,2943678837.0,Parts Of Article Of Heading 85.15,588735767.4,883103651.1,26493109.533,44155182.55500001
8509400000,8067938.38,2910039790.0,Food Grinders And Mixers; Fruit Or Vegetable Juice Extractors,582007958.0,873011937.0,26190358.11,43650596.85
8501200000,-53571441.97,2743688700.0,Universal Ac/Dc Motors Of An Output Exceeding 37.5 W,548737740.0,823106610.0,24693198.3,41155330.5
8536200000,-10894570.45,2702554976.0,Automatic Circuit Breakers,540510995.2,810766492.8,24322994.783999998,40538324.64
8501530000,2662098.19,2577982171.0,"Other Ac Motors, Multiphase Of An Output Exceeding 75 Kw",515596434.20000005,773394651.3,23201839.538999997,38669732.565
8501100000,-21582895.13,2462563472.0,Electric Motors Of An Output Not Exceeding 37.5 W,492512694.40000004,738769041.6,22163071.248,36938452.080000006
8504501000,14535126.18,2310699782.0,Choke Coil (Chokes),462139956.40000004,693209934.6,20796298.038,34660496.730000004
8544300000,-1797123.91,2280459641.0,"Ignition Wiring Sets And Other Wiring Sets Of A Kind Used In Vehicles, Aircraft Or Ship",456091928.20000005,684137892.3,20524136.768999998,34206894.615
8535300000,20278985.85,2260195671.0,Isolating Switches And Make-And-Break Switches,452039134.20000005,678058701.3,20341761.038999997,33902935.065
8504220000,-14949275.52,2198948750.0,"Liquid Dielectric Transformer With Power Handling Capacity >650 Kva But Not > 10,000 Kva",439789750.0,659684625.0,19790538.75,32984231.25
8501610000,17882033.58,2189523493.0,"Other Ac Motors, Multiphase Of An Output Not Exceeding 75 Kva",437904698.6,656857047.9,19705711.437,32842852.395
8504509000,-35222705.28,2129932813.0,Other Inductors Excl. Choke Coil,425986562.6,638979843.9,19169395.316999998,31948992.195
8535400000,4687959.28,2075317562.0,"Lightning Arresters, Voltage Limiters And Surge Suppressors",415063512.40000004,622595268.6,18677858.058,31129763.430000003
8525800000,-5447454.23,2055576423.0,"Television Cameras, Digital Cameras And Video Camera Recorders",411115284.6,616672926.9,18500187.807,30833646.345
8523520000,-19117166.01,2014347418.0,Smart Cards,402869483.6,604304225.4,18129126.762,30215211.27
8504310000,3293338.0,1900140562.0,"Other Transformer Not Specified, Having A Power Handling Capacity Not Exceeding 1 Kva",380028112.40000004,570042168.6,17101265.058,28502108.430000003
8543900000,6599608.14,1892805801.0,Parts Of Article Of Heading 85.43,378561160.20000005,567841740.3,17035252.209,28392087.015
8512200000,-24796016.51,1825350037.0,Other Lighting Or Visual Signalling Equipment,365070007.40000004,547605011.1,16428150.333,27380250.555000003
8504210000,1636546.0,1824548569.0,"Liquid Dielectric Transformers, Having A Power Handling Capacity Not Exceeding 650 Kva",364909713.8,547364570.6999999,16420937.120999997,27368228.534999996
8526910000,-24826746.19,1804346902.0,Radio Navigational Aid Apparatus,360869380.40000004,541304070.6,16239122.118,27065203.53
8546200000,584344.38,1764528821.0,Electrical Insulators Of Ceramics,352905764.20000005,529358646.29999995,15880759.388999999,26467932.314999998
8546900000,-788756.17,1725487833.0,Other Electrical Insulators Of Any Material Other Than Glass And Ceramics.,345097566.6,517646349.9,15529390.497,25882317.495
8516500000,7543405.5,1705228312.0,Microwave Ovens,341045662.40000004,511568493.59999996,15347054.807999998,25578424.68
8502391000,7778798.79,1639571677.0,Solarpowered Generator,327914335.40000004,491871503.09999996,14756145.092999998,24593575.155
8530900000,61100167.62,1626848842.0,Parts Of Article Of Heading 85.30,325369768.40000004,488054652.59999996,14641639.577999998,24402732.63
8506500000,-22548359.58,1625475231.0,Primary Cells And Primary Batteries Made Of Lithium,325095046.20000005,487642569.29999995,14629277.078999998,24382128.465
8501510000,7303421.12,1616883483.0,"Other Ac Motors, Multiphase Of An Output Not Exceeding 750 W",323376696.6,485065044.9,14551951.347,24253252.245
8531800000,32594795.87,1605641030.0,Other Electric Sound Or Visual Signalling Apparatus Ns Excl. 85.12 Or 85.30,321128206.0,481692309.0,14450769.27,24084615.450000003
8536300000,5858571.11,1563459306.0,Other Apparatus For Protecting Electrical Circuits,312691861.2,469037791.8,14071133.754,23451889.590000004
8516609000,3856231.06,1538224924.0,"Ovens; Cookers, Cooking Plates, Boiling Rings, Grillers And Roasters:Fully Built",307644984.8,461467477.2,13844024.316,23073373.86
8514200000,4894883.66,1530333982.0,Furnaces And Ovens Functioning By Induction Or Dielectric Loss,306066796.40000004,459100194.59999996,13773005.837999998,22955009.73
8523510000,25157741.06,1423378660.0,Solidstate Nonvolatile Storage Devices,284675732.0,427013598.0,12810407.94,21350679.900000002
8506800000,12224345.33,1391246458.0,Other Primary Cells And Primary Batteries Not Specifies,278249291.6,417373937.4,12521218.122,20868696.87
8547200000,-35652087.4,1295677941.0,Insulating Fittings Of Plastics,259135588.20000002,388703382.3,11661101.469,19435169.115000002
8501520000,-14779114.97,1291793165.0,"Other Ac Motors, Multiphase Of An Output Exceeding 750 W But Not Exceeding 75 Kw",258358633.0,387537949.5,11626138.485,19376897.475
8528729000,3476596.39,1238913716.0,"Reception Apparatus For Television, Coloured, Presented Fully Buit",247782743.20000002,371674114.8,11150223.444,18583705.740000002
8502400000,327272.55,1204809735.0,Electric Rotary Converters,240961947.0,361442920.5,10843287.615,18072146.025000002
8528739000,-5562000.93,1182964522.0,"Reception Apparatus For Television, Monochrome:, Presented Fbu",236592904.4,354889356.59999996,10646680.697999999,17744467.83
8541900000,5569232.65,1149155501.0,Parts Of Articles Of 85.41,229831100.20000002,344746650.3,10342399.509,17237332.515
8511100000,-2342208.02,1094912639.0,Sparking Plugs,218982527.8,328473791.7,9854213.751,16423689.585
8518300000,-6941763.0,1067437111.0,"Headphone And Earphone, And Sets Consisting Of A Microphone And One Or More Loudspeakers",213487422.20000002,320231133.3,9606933.999,16011556.665000001
8535100000,175948.06,1057691229.0,Fuses,211538245.8,317307368.7,9519221.060999999,15865368.435
8516791000,64753.3,1052574382.0,Electric Kettle,210514876.4,315772314.59999996,9473169.438,15788615.729999999
8516400000,3575787.14,1035823374.0,Electric Smoothing Irons,207164674.8,310747012.2,9322410.365999999,15537350.61
8536690000,-104256.31,1001641583.0,Electrical Plugs And Sockets,200328316.60000002,300492474.9,9014774.247,15024623.745
8501320000,-2808088.28,993708984.0,Other Dc Motors; Dc Generators Of An Output Exceeding 750 W But Not Exceeding 75 Kw,198741796.8,298112695.2,8943380.855999999,14905634.76
8501330000,-5010855.13,972108577.0,Other Dc Motors; Dc Generators Of An Output Exceeding 75 Kw But Not Exceeding 375 Kw,194421715.4,291632573.09999996,8748977.192999998,14581628.655
8504320000,11902058.4,955093426.0,"Transformer Not Specified, With Power Handling Capacity > 1 Kva But Not > 16 Kva",191018685.20000002,286528027.8,8595840.834,14326401.39
8525500000,12715691.72,931024075.0,Transmission Apparatus,186204815.0,279307222.5,8379216.675,13965361.125
8544190000,-3704122.31,926106589.0,Other Winding Wire Excl. Wire Of Copper,185221317.8,277831976.7,8334959.300999999,13891598.835
8535290000,-5832027.41,899039624.0,Automatic Circuit Breakers For A Voltage Of More Than 72.5 Kv,179807924.8,269711887.2,8091356.615999999,13485594.36
8535900000,-15013106.24,891576989.0,"Other Elect. Apparatus For Switching, Protecting Circuits, Connections Not Specified",178315397.8,267473096.7,8024192.901,13373654.835
8515390000,10004773.86,853720767.0,Non Machines And Apparatus For Arc (Including Plasma Arc) Welding Of Metals,170744153.4,256116230.1,7683486.903,12805811.505
8528711000,11692151.55,847132644.0,"Reception Apparatus For Television, With No Video Display/Screen, Presented Ckd",169426528.8,254139793.2,7624193.795999999,12706989.66
8507800000,6460039.03,842211840.0,Other Accumulators Not Specified,168442368.0,252663552.0,7579906.56,12633177.600000001
8536490000,-2738739.68,816468164.0,Relays For A Voltage Exceeding 60 V,163293632.8,244940449.2,7348213.476,12247022.46
8501620000,7712173.67,796915608.0,"Other Ac Motors, Multiphase Of An Output Exceeding 75 Kva But Not Exceeding 375 Kva",159383121.6,239074682.4,7172240.472,11953734.120000001
8506109000,2031095.01,782492616.0,"Other Manganese Dioxide Primary Cells, Not Specified",156498523.20000002,234747784.79999998,7042433.543999999,11737389.24
8518210000,-4612396.44,780226226.0,"Single Loudspeakers, Mounted In Their Enclosures",156045245.20000002,234067867.79999998,7022036.033999999,11703393.39
8535210000,-2464304.46,778658643.0,Automatic Circuit Breakers For A Voltage Of Less Than 72.5 Kv,155731728.6,233597592.9,7007927.787,11679879.645000001
8502201000,-16820081.77,771879937.0,Presented Completely Knocked Down ( Ckd) Or Unassembled For The Assemblee Undustry,154375987.4,231563981.1,6946919.432999999,11578199.055
8528510000,-7392817.57,767239924.0,Other Crt Monitor Not Specified: Used In An Automatic Data Processing System Of 84.71,153447984.8,230171977.2,6905159.316,11508598.86
8515800000,1758389.99,763777448.0,Other Machines And Apparatus For Welding Of Metals,152755489.6,229133234.4,6873997.032,11456661.72
8531100000,2358311.15,756458534.0,Burglar Or Fire Alarms And Similar Apparatus,151291706.8,226937560.2,6808126.805999999,11346878.01
8502119010,7056611.48,756124870.0,Other (Soundproof),151224974.0,226837461.0,6805123.83,11341873.05
8529900000,4129984.16,741533968.0,Other Parts Suitable For Use With The Apparatus Of Headings 85.25 To 85.28 Not Specified,148306793.6,222460190.4,6673805.712,11123009.520000001
8536100000,-4762278.77,738681567.0,Fuses,147736313.4,221604470.1,6648134.102999999,11080223.505
8518290000,839937.94,729671924.0,Other Types Of Loudspeakers Not Specified In 85.18,145934384.8,218901577.2,6567047.316,10945078.86
8545909000,5739377.53,721035618.0,Other Electrodes,144207123.6,216310685.4,6489320.562,10815534.270000001
8545901000,8823948.53,706909595.0,Other Electrodes Intended For The Battery Manufacturing Industry,141381919.0,212072878.5,6362186.3549999995,10603643.925
8514400000,-313066.98,704710351.0,Other Equipment For The Heat Treatment Of Materials By Induction Or Dielectric Loss,140942070.20000002,211413105.29999998,6342393.158999999,10570655.265
8511800000,-5293519.69,676459142.0,"Other Equipment (For Example, Cutout)",135291828.4,202937742.6,6088132.278,10146887.13
8516800000,668375.58,671236399.0,Electric Heating Resistors,134247279.8,201370919.7,6041127.590999999,10068545.985
8544110000,-783580.81,668617423.0,Winding Wire Of Copper,133723484.60000001,200585226.9,6017556.807,10029261.345
8521901000,1342271.31,637016740.0,Dvd Player/Recorder,127403348.0,191105022.0,5733150.66,9555251.1
8545110000,-3525443.87,629601778.0,Electrodes Of A Kind Used For Furnaces,125920355.60000001,188880533.4,5666416.002,9444026.67
8523800000,12395519.47,625779800.0,Other Items Of 85.23 Not Specified,125155960.0,187733940.0,5632018.2,9386697.0
8536610000,-3871453.97,608365310.0,Lampholders,121673062.0,182509593.0,5475287.79,9125479.65
8507100000,617144.1,598244188.0,"Leadacid, Of A Kind Used For Starting Piston Engines",119648837.60000001,179473256.4,5384197.692,8973662.82
8515310000,-9402085.68,597072545.0,Fully Or Partly Automatic Machines And Apparatus For Arc Welding Of Metals,119414509.0,179121763.5,5373652.905,8956088.175
8530800000,7908402.11,581446044.0,"Electrical Signalling Equipment For Roads, Inland Waterways Or Airfields Excl. 86.08",116289208.80000001,174433813.2,5233014.396,8721690.66
8542320000,-3008622.72,573582595.0,Electronic Integrated Circuits; Memories,114716519.0,172074778.5,5162243.3549999995,8603738.925
8540890000,356597.77,573370071.0,Other Valves And Tube Not Specified,114674014.2,172011021.29999998,5160330.6389999995,8600551.065
8504330000,-3020429.88,557671708.0,"Transformer Not Specified, With Power Handling Capacity > 16 Kva But Not > 500 Kva",111534341.60000001,167301512.4,5019045.372,8365075.620000001
8536700000,-3586153.86,540394810.0,"Connectors For Optical Fibres, Optical Fibre Bundles Or Cables",108078962.0,162118443.0,4863553.29,8105922.15
8507300000,1660106.79,522050095.0,Nickel-Cadmium Accumulators,104410019.0,156615028.5,4698450.8549999995,7830751.425000001
8523211000,5584814.88,511715624.0,Recorded Cards Incorporating A Magnetic Stripe,102343124.80000001,153514687.2,4605440.615999999,7675734.359999999
8546100000,78919.55,507379878.0,Electrical Insulators Of Glass,101475975.60000001,152213963.4,4566418.902,7610698.170000001
8526920000,-543480.36,486430302.0,Radio Remote Control Apparatus,97286060.4,145929090.6,4377872.717999999,7296454.53
8515210000,4508375.17,475800774.0,Fully Or Partly Automatic Machines And Apparatus For Resistance Welding Of Metal,95160154.80000001,142740232.2,4282206.965999999,7137011.609999999
8509800000,-2752930.19,469284062.0,Other Electromechanical Domestic Appliance,93856812.4,140785218.6,4223556.557999999,7039260.93
8531900000,-273763.87,468136529.0,Parts Of Article Of Heading 85.31,93627305.80000001,140440958.7,4213228.761,7022047.935
8516799000,4049428.78,464318584.0,Other Electrothermic Appliances Not Specified In This Heading.,92863716.80000001,139295575.2,4178867.2559999996,6964778.76
8516601000,443791.25,452982901.0,"Ovens; Cookers, Cooking Plates, Boiling Rings, Grillers And Roasters: Presented Ckd",90596580.2,135894870.29999998,4076846.1089999992,6794743.515
8502139090,2587414.63,450702355.0,Other (Basic),90140471.0,135210706.5,4056321.195,6760535.325
8539210000,8145430.64,431822839.0,Tungsten Halogen,86364567.80000001,129546851.69999999,3886405.5509999995,6477342.585
8506101000,9672740.22,430002820.0,R20 (Flashlight And Radio Batteries),86000564.0,129000846.0,3870025.38,6450042.300000001
8528590000,-1556272.42,427432225.0,Crt Monitor Not Specified : Not Used In An Automatic Data Processing System Of 84.71,85486445.0,128229667.5,3846890.025,6411483.375
8531200000,-1730448.7,426125297.0,Indicator Panels Incorporating Lcd Or Led,85225059.4,127837589.1,3835127.6729999995,6391879.455
8523299000,-13667620.73,413116038.0,Other Magnetic Media Not Specified In This Heading.,82623207.60000001,123934811.39999999,3718044.3419999997,6196740.57
8502139010,-5632875.1,411452419.0,Other (Soundproof),82290483.80000001,123435725.69999999,3703071.7709999997,6171786.285
8511500000,-1952470.79,387040981.0,"Othergenerators (For Example, Dynamos, Alternators)",77408196.2,116112294.3,3483368.829,5805614.715
8539311000,349232.38,381666144.0,Energy Saving Compact Fluorescent Lamps (Cfl),76333228.8,114499843.2,3434995.296,5724992.16
8534000000,2663271.75,381502887.0,Printed Circuits.,76300577.4,114450866.1,3433525.9829999995,5722543.305
8542390000,1756056.05,378374645.0,Other Electronic Integrated Circuits Not Specified.,75674929.0,113512393.5,3405371.8049999997,5675619.675000001
8536410000,-5361430.38,376560991.0,Relays For A Voltage Not Exceeding 60 V,75312198.2,112968297.3,3389048.9189999998,5648414.865
8513900000,-594770.36,370004273.0,Parts Of Article Of Heading 85.13,74000854.60000001,111001281.89999999,3330038.4569999995,5550064.095
8511400000,-627102.52,354041086.0,Starter Motors And Dual Purpose Starte-Rgenerators,70808217.2,106212325.8,3186369.7739999997,5310616.29
8528410000,890211.1,337333554.0,Crt Monitor : Used In An Automatic Data Processing System Of 84.71,67466710.8,101200066.2,3036001.986,5060003.3100000005
8502129090,4012423.07,337052369.0,Of An Output Exceeding 375 Kva But Not Exceeding 1000 Kva,67410473.8,101115710.7,3033471.321,5055785.535
8502129090,4012423.07,337052369.0,Other (Basic),67410473.8,101115710.7,3033471.321,5055785.535
8516900000,1750591.77,334553049.0,Parts Of Article Of 85.16,66910609.800000004,100365914.7,3010977.441,5018295.735
8542900000,761210.48,333924517.0,Parts Of Article Of Heading 85.42,66784903.400000006,100177355.1,3005320.653,5008867.755
8539900000,450194.33,331895311.0,Parts Of Article Of Heading 85.39,66379062.2,99568593.3,2987057.7989999996,4978429.665
8516720000,1477951.16,324332267.0,Toasters,64866453.400000006,97299680.1,2918990.403,4864984.005
8501340000,6264292.41,317005239.0,Other Dc Motors; Dc Generators Of An Output Exceeding 375 Kw,63401047.800000004,95101571.7,2853047.151,4755078.585
8518400000,-1929239.67,315681532.0,Audio Frequency Electric Amplifiers,63136306.400000006,94704459.6,2841133.7879999997,4735222.9799999995
8523490000,1544997.77,304626202.0,Recorded Optical Media,60925240.400000006,91387860.6,2741635.8179999995,4569393.03
8501640000,1566270.92,301176542.0,"Other Ac Motors, Multiphase Of An Output Exceeding 750 Kva",60235308.400000006,90352962.6,2710588.8779999996,4517648.13
8541409000,3587802.0,300831477.0,Other Photosensitive Semiconductor Devices,60166295.400000006,90249443.1,2707483.2929999996,4512472.155
8502129010,-294473.07,299752705.0,Other (Soundproof),59950541.0,89925811.5,2697774.3449999997,4496290.575
8539220000,-718695.54,296932192.0,"Other Filament Lamps, Of A Power Not Exceeding 200 W And For A Voltage Exceeding 100 V",59386438.400000006,89079657.6,2672389.7279999997,4453982.88
8532100000,2464034.41,296362129.0,"Fixed Capacitors Used In 50/60 Hz Circuits,Having Power Handling Capacity > 0.5 Kvar",59272425.800000004,88908638.7,2667259.161,4445431.9350000005
8502119090,-2411242.92,292270316.0,Other (Basic),58454063.2,87681094.8,2630432.844,4384054.74
8518500000,527701.59,276987876.0,Electric Sound Amplifier Sets,55397575.2,83096362.8,2492890.8839999996,4154818.14
8539290000,2107052.13,269175822.0,"Other Filament Lamps, Excluding Ultraviolet Or Infrared Lamps Not Specified.",53835164.400000006,80752746.6,2422582.3979999996,4037637.33
8505900000,3970139.14,259999749.0,Other Magnets And Electromagnets; Including Parts,51999949.800000004,77999924.7,2339997.741,3899996.2350000003
8527910000,394850.97,259950326.0,"Radiobroadcast Receivers Ns,Combined Recording/Reproducing",51990065.2,77985097.8,2339552.934,3899254.89
8514100000,-3578271.42,259764014.0,Resistance Heated Furnaces And Ovens,51952802.800000004,77929204.2,2337876.126,3896460.2100000004
8514300000,527519.55,250990586.0,Other Furnaces And Ovens,50198117.2,75297175.8,2258915.2739999997,3764858.79
8512400000,2827199.71,249625882.0,"Windscreen Wipers, Defrosters And Demisters",49925176.400000006,74887764.6,2246632.9379999996,3744388.23
8521909000,-2097286.38,226603278.0,Other Video Recording Or Reproducing Apparatus Not Specified,45320655.6,67980983.39999999,2039429.5019999996,3399049.17
8515190000,-1812438.43,222000990.0,Brazing Machines And Apparatus,44400198.0,66600297.0,1998008.91,3330014.85
8527290000,-6695210.52,219908919.0,"Radiobroadcast Receiver, Used In Motor Vehicle,Not Combined",43981783.800000004,65972675.699999996,1979180.2709999997,3298633.785
8518220000,-348271.81,218488455.0,"Multiple Loudspeakers, Mounted In The Same Enclosure",43697691.0,65546536.5,1966396.095,3277326.825
8511900000,918072.66,216387320.0,Parts Of Of Article Of 85.11,43277464.0,64916196.0,1947485.88,3245809.8000000003
8523219000,-3936201.27,216169462.0,Unrecorded Cards Incorporating A Magnetic Stripe,43233892.400000006,64850838.599999994,1945525.1579999998,3242541.9299999997
8502209092,-156046.52,214133135.0,Other Basic Of An Output Exceeding 10Kva,42826627.0,64239940.5,1927198.2149999999,3211997.0250000004
8527192000,1361815.7,209109223.0,Radio Receiving Sets,41821844.6,62732766.9,1881983.007,3136638.345
8545200000,348608.73,204274900.0,Carbon Brushes,40854980.0,61282470.0,1838474.0999999999,3064123.5
8512900000,-1339647.16,199004855.0,Parts Of Electrical Lighting Or Signalling Equipment Used For Cycles Or Motor Vehicles.,39800971.0,59701456.5,1791043.6949999998,2985072.825
8510200000,24656.2,198714018.0,Hair Clippers,39742803.6,59614205.4,1788426.1619999998,2980710.27
8512300000,452692.69,196454233.0,Sound Signalling Equipment,39290846.6,58936269.9,1768088.0969999998,2946813.495
8528610000,-70742.37,195131328.0,Projectors Of A Kind Used In An Automatic Data Processing System Of Heading 84.71,39026265.6,58539398.4,1756181.9519999998,2926969.92
8541290000,4486769.73,192928466.0,"Transistors, Other Than Photosensitive Transistors With A Dissipation Rate Of> 1 W",38585693.2,57878539.8,1736356.194,2893926.99
8507900000,1315381.64,189354878.0,Parts Of Electric Accumulators,37870975.6,56806463.4,1704193.902,2840323.17
8527120000,210592.53,185449306.0,Pocketsize Radio Cassetteplayers,37089861.2,55634791.8,1669043.754,2781739.59
8539319000,-1640979.67,177166258.0,"Other Fluorescent, Hot Cathode Not Specified",35433251.6,53149877.4,1594496.322,2657493.87
